origin,destination,document_url
CAI,AMM,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
CAI,ATH,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
CAI,BCN,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
CAI,BEY,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
CAI,CMN,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
CAI,FCO,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
CAI,IST,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
CAI,LIS,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
CAI,MAD,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
CAI,MLA,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
CAI,MRS,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
CAI,NKC,https://drive.google.com/file/d/1vjVr2oi8iS-rFKTlvGG1HRYOjVUrg4ae/view?usp=drive_link
CAI,TLV,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
CAI,TUN,https://drive.google.com/file/d/1vjVr2oi8iS-rFKTlvGG1HRYOjVUrg4ae/view?usp=drive_link
CAI,TIP,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
CAI,VLC,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
CAI,BKK,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
