origin,destination,km
VLC,IST,2486.0
VLC,BKK,9946.0
VLC,BOM,7262.0
VLC,DXB,5373.0
VLC,JED,3313.0
VLC,PUS,10229.0
VLC,HKG,10349.0
VLC,MLA,1365.49
VLC,TIA,1642.81
VLC,MJI,1365.43
VLC,MCT,5758.0
VLC,LGG,1232.0
VLC,AMS,1417.0
VLC,FRA,1115.0
VLC,LHR,1331.55
VLC,TDG,1688.42
VLC,LUX,1243.91
LIS,BCN,1007.0
LIS,MAD,503.0
LIS,ALG,1094.0
LIS,CAI,3803.0
LIS,TLV,4017.0
LIS,AMM,4124.0
LIS,BEY,4004.0
LIS,NKC,2379.0
LIS,CMN,585.0
LIS,TUN,1710.0
LIS,MRS,1320.0
LIS,ATH,2857.0
LIS,FCO,1844.0
LIS,VLC,760.0
LIS,IST,3243.0
LIS,BKK,10677.0
LIS,BOM,4833.0
LIS,DXB,3000.0
LIS,JED,4236.0
LIS,PUS,8270.0
LIS,HKG,8020.0
LIS,MLA,2063.78
LIS,TIA,2595.67
LIS,MJI,2166.84
LIS,MCT,6238.0
LIS,LGG,1592.0
LIS,AMS,1866.0
LIS,FRA,1520.0
LIS,LHR,1564.92
LIS,TDG,2424.95
LIS,LUX,1713.18
IST,BCN,2239.0
IST,MAD,2744.0
IST,ALG,2288.0
IST,CAI,1233.0
IST,TLV,1121.0
IST,AMM,1184.0
IST,BEY,979.0
IST,NKC,4963.0
IST,CMN,3319.0
IST,TUN,1691.0
IST,MRS,1958.0
IST,ATH,562.0
IST,FCO,1399.0
IST,VLC,2486.0
IST,LIS,3243.0
IST,BKK,7462.0
IST,BOM,7462.0
IST,DXB,4833.0
IST,JED,1929.0
IST,PUS,3000.0
IST,HKG,8270.0
IST,MLA,1380.66
IST,TIA,758.42
IST,MJI,1575.98
IST,MCT,3284.0
IST,LGG,2009.0
IST,AMS,2197.0
IST,FRA,1915.0
IST,LHR,2493.77
IST,TDG,798.02
IST,LUX,1982.15
BKK,BCN,9673.0
BKK,MAD,10175.0
BKK,ALG,9737.0
BKK,CAI,7264.0
BKK,TLV,6924.0
BKK,AMM,6817.0
BKK,BEY,6862.0
BKK,NKC,12194.0
BKK,CMN,10766.0
BKK,TUN,9119.0
BKK,MRS,9365.0
BKK,ATH,7917.0
BKK,FCO,8846.0
BKK,VLC,9946.0
BKK,LIS,10677.0
BKK,IST,7462.0
BKK,BOM,2980.0
BKK,DXB,4875.0
BKK,JED,4635.0
BKK,PUS,3708.0
BKK,HKG,1721.0
BKK,MLA,8820.43
BKK,TIA,8095.74
BKK,MJI,7982.65
BKK,MCT,4594.0
BKK,LGG,9397.0
BKK,AMS,9269.0
BKK,FRA,8880.0
BKK,LHR,9587.73
BKK,TDG,8303.87
BKK,LUX,9184.36
BOM,BCN,7017.0
BOM,MAD,7533.0
BOM,ALG,6988.0
BOM,CAI,4358.0
BOM,TLV,4082.0
BOM,AMM,3927.0
BOM,BEY,4063.0
BOM,NKC,9263.0
BOM,CMN,11266.0
BOM,TUN,6353.0
BOM,MRS,7079.0
BOM,ATH,5359.0
BOM,FCO,6195.0
BOM,VLC,7262.0
BOM,LIS,8027.0
BOM,IST,4833.0
BOM,BKK,2980.0
BOM,DXB,1950.0
BOM,JED,3052.0
BOM,PUS,5747.0
BOM,HKG,4281.0
BOM,MLA,6249.35
BOM,TIA,5801.52
BOM,MJI,5720.48
BOM,MCT,1596.0
BOM,LGG,6903.0
BOM,AMS,6776.0
BOM,FRA,6502.0
BOM,LHR,7220.26
BOM,TDG,5632.87
BOM,LUX,6739.65
DXB,BCN,5162.0
DXB,MAD,5655.0
DXB,ALG,5077.0
DXB,CAI,2430.0
DXB,TLV,2136.0
DXB,AMM,1980.0
DXB,BEY,2145.0
DXB,NKC,7330.0
DXB,CMN,6079.0
DXB,TUN,4450.0
DXB,MRS,5241.0
DXB,ATH,3467.0
DXB,FCO,4324.0
DXB,VLC,5373.0
DXB,LIS,6145.0
DXB,IST,3000.0
DXB,BKK,4875.0
DXB,BOM,1950.0
DXB,JED,1693.0
DXB,PUS,7010.0
DXB,HKG,5946.0
DXB,MLA,4288.72
DXB,TIA,3829.21
DXB,MJI,4238.23
DXB,MCT,348.0
DXB,LGG,5153.0
DXB,AMS,5031.0
DXB,FRA,4739.0
DXB,LHR,5504.24
DXB,TDG,3803.69
DXB,LUX,5000.0
JED,BCN,4095.0
JED,MAD,5043.0
JED,ALG,2360.0
JED,CAI,1351.0
JED,TLV,1050.0
JED,AMM,1175.0
JED,BEY,1320.0
JED,NKC,3345.0
JED,CMN,3013.0
JED,TUN,2086.0
JED,MRS,3688.0
JED,ATH,2419.0
JED,FCO,2964.0
JED,VLC,3313.0
JED,LIS,4236.0
JED,IST,1929.0
JED,BKK,4635.0
JED,BOM,3052.0
JED,DXB,1693.0
JED,PUS,8703
JED,HKG,6397.0
JED,MLA,2849.37
JED,TIA,2914.36
JED,MJI,2563.91
JED,MCT,1976.0
JED,LGG,4465.0
JED,AMS,4356.0
JED,FRA,4079.0
JED,LHR,4748.83
JED,TDG,2949.71
JED,LUX,4239.93
PUS,BCN,9931.0
PUS,MAD,10325.0
PUS,ALG,10266.0
PUS,CAI,8776.0
PUS,TLV,8371.0
PUS,AMM,8277.0
PUS,BEY,8209.0
PUS,NKC,13041.0
PUS,CMN,11144.0
PUS,TUN,9827.0
PUS,MRS,9783.0
PUS,ATH,8883.0
PUS,FCO,9292.0
PUS,VLC,10229.0
PUS,LIS,10751.0
PUS,IST,8270.0
PUS,BKK,3708.0
PUS,BOM,5747.0
PUS,DXB,7010.0
PUS,JED,7552.0
PUS,HKG,2029.0
PUS,MLA,9764.82
PUS,TIA,8640.95
