origin,destination,regime
TUN,BEY,WCO
TUN,CAI,AFCFTA
TUN,CMN,WCO
TUN,FCO,WCO
TUN,IST,WCO
TUN,LIS,WCO
TUN,MAD,WCO
TUN,MLA,WCO
TUN,MRS,WCO
TUN,NKC,AFCFTA
TUN,TLV,WCO
TUN,TIP,WCO
TUN,VLC,WCO
TUN,BKK,WCO
TUN,BOM,WCO
TUN,DXB,WCO
TUN,JED,WCO
TUN,PUS,WCO
TUN,HKG,WCO
TUN,MLA,WCO
TUN,TIA,WCO
TUN,AMS,WCO
TIP,ALG,WCO
TIP,AMM,WCO
TIP,ATH,WCO
TIP,BCN,WCO
TIP,BEY,WCO
TIP,CAI,WCO
TIP,CMN,WCO
TIP,FCO,WCO
TIP,IST,WCO
TIP,LIS,WCO
TIP,MAD,WCO
TIP,MLA,WCO
TIP,MRS,WCO
TIP,NKC,WCO
TIP,TLV,WCO
TIP,TUN,WCO
TIP,VLC,WCO
TIP,BKK,WCO
TIP,BOM,WCO
TIP,DXB,WCO
TIP,JED,WCO
TIP,PUS,WCO
TIP,HKG,WCO
TIP,MLA,WCO
TIP,TIA,WCO
TIP,AMS,WCO
VLC,ALG,WCO
VLC,AMM,WCO
VLC,ATH,SCHENGEN
VLC,BCN,SCHENGEN
VLC,BEY,WCO
VLC,CAI,WCO
VLC,CMN,WCO
VLC,FCO,SCHENGEN
VLC,IST,WCO
VLC,LIS,SCHENGEN
VLC,MAD,SCHENGEN
VLC,MLA,SCHENGEN
VLC,MRS,SCHENGEN
VLC,NKC,WCO
VLC,TLV,WCO
VLC,TUN,WCO
VLC,TIP,WCO
VLC,BKK,WCO
VLC,BOM,WCO
VLC,DXB,WCO
VLC,JED,WCO
VLC,PUS,WCO
VLC,HKG,WCO
VLC,MLA,SCHENGEN
VLC,TIA,SCHENGEN
VLC,AMS,SCHENGEN
BKK,ALG,WCO
BKK,AMM,WCO
BKK,ATH,WCO
BKK,BCN,WCO
BKK,BEY,WCO
BKK,CAI,WCO
BKK,CMN,WCO
BKK,FCO,WCO
BKK,IST,WCO
BKK,LIS,WCO
BKK,MAD,WCO
BKK,MLA,WCO
BKK,MRS,WCO
BKK,NKC,WCO
BKK,TLV,WCO
BKK,TUN,WCO
BKK,TIP,WCO
BKK,VLC,WCO
BKK,BOM,WCO
BKK,DXB,WCO
BKK,JED,WCO
BKK,PUS,WCO
BKK,HKG,WCO
BKK,MLA,WCO
BKK,TIA,WCO
BKK,AMS,WCO
BOM,ALG,WCO
BOM,AMM,WCO
BOM,ATH,WCO
BOM,BCN,WCO
BOM,BEY,WCO
BOM,CAI,WCO
BOM,CMN,WCO
BOM,FCO,WCO
BOM,IST,WCO
BOM,LIS,WCO
